id,category,name,address,symbol,tvl,mcap,slug,TVL (7dma),TVL (1mma),Volume (7dma),Volume (1mma),Holder Counts (7day),Holder Counts (1mma)
2269,CEX,Binance CEX,,-,63781453789.54393,,binance-cex,-0.02999397521825309,0.04659268391353555,,,,
182,Liquid Staking,Lido,0x5a98fcbea516cf06857215779fd812ca3bef1b32,LDO,11970568808.802275,1608853835.6205852,lido,0.02677804869011058,0.136365433208,,,0.0035062508981175454,0.016417780106540915
2272,CEX,OKX,,-,9901273611.599237,,okx,0.0012949304748683943,0.09329098879674436,,,,
2275,CEX,Bitfinex,,-,9108540964.3306,,bitfinex,-0.01284104672495312,0.05167582228262679,,,,
118,CDP,MakerDAO,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,7244343052.392243,604466745.4968818,makerdao,-0.004739975560801635,-0.022995898172910145,,,0.0006759754113944105,0.005326825127334466
240,Chain,Polygon Bridge & Staking,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,6794958709.354048,8338781213.866682,polygon-bridge-&-staking,-0.026357390606040143,-0.0603050657577866,,,0.0017336831520671282,0.017999228149067906
3,Dexes,Curve DEX,0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,4283970179.7775803,,curve-dex,0.001390778448074892,-0.008540423772806394,0.0268,0.0965,0.0015752670269716452,0.007575659971398019
2,Bridge,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,4260339351.5999293,4264305007.0768867,wbtc,-0.010111249183465842,0.08964535837720544,,,0.0018730608101345458,0.0117242773398019
494,Lending,JustLend,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,3716018763.799166,208970401.53653932,justlend,0.008723578615521088,0.08336321493066579,,,,
111,Lending,AAVE V2,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,3693881452.889002,924749308.9065531,aave-v2,-0.014135448334142486,-0.04249387883097944,,,0.001768676979797225,0.010211643534509828
2270,CEX,Crypto-com,,-,3482936962.3494816,,crypto-com,-0.03175142601713665,0.011909224511740035,,,,
319,Yield,Convex Finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,CVX,3316193948.4508924,370846300.84073424,convex-finance,0.27803958956815866,-0.1037648046023748,,,0.001742606734662498,0.010443054334901513
694,Bridge,JustCryptos,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,3273960595.0,,justcryptos,-0.012543648865336987,0.0733761933248025,,,,
2276,CEX,Huobi,,-,2895779717.6481466,,huobi,-0.027953583403009574,-0.005861190413367856,,,,
2198,Dexes,Uniswap V3,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,2866303593.250703,,uniswap-v3,0.004094472672888871,0.09377404701895387,0.5421,2.1626,0.003061939119529634,-0.015290731759313543
2286,CEX,Bybit,,-,2865567435.3591475,,bybit,-0.019002478268329348,0.03092287379678682,,,,
2274,CEX,Kucoin,,-,2643181528.660705,,kucoin,-0.04493091189254805,0.04838835104158301,,,,
2222,Liquid Staking,Coinbase Wrapped Staked ETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,CBETH,2181632675.3499722,0.0,coinbase-wrapped-staked-eth,0.003576681274848559,0.09360713412364663,,,0.03045766225482379,0.2291402485417195
